BITSKINS.sellOrder.original.price,BITSKINS.sellOrder.original.currency,BITSKINS.sellOrder.converted.price,BITSKINS.sellOrder.converted.currency,BITSKINS.sellOrder.count,BITSKINS.buyOrder,BITSKINS.updatedAt,SKINBARON.sellOrder.original.price,SKINBARON.sellOrder.original.currency,SKINBARON.sellOrder.converted.price,SKINBARON.sellOrder.converted.currency,SKINBARON.sellOrder.count,SKINBARON.buyOrder,SKINBARON.updatedAt,SKINPORT.sellOrder.original.price,SKINPORT.sellOrder.original.currency,SKINPORT.sellOrder.converted.price,SKINPORT.sellOrder.converted.currency,SKINPORT.sellOrder.count,SKINPORT.buyOrder,SKINPORT.updatedAt,CSFLOAT.sellOrder.original.price,CSFLOAT.sellOrder.original.currency,CSFLOAT.sellOrder.converted.price,CSFLOAT.sellOrder.converted.currency,CSFLOAT.sellOrder.count,CSFLOAT.buyOrder,CSFLOAT.updatedAt,MARKETCSGO.sellOrder.original.price,MARKETCSGO.sellOrder.original.currency,MARKETCSGO.sellOrder.converted.price,MARKETCSGO.sellOrder.converted.currency,MARKETCSGO.sellOrder.count,MARKETCSGO.buyOrder,MARKETCSGO.updatedAt,BUFF163.sellOrder.original.price,BUFF163.sellOrder.original.currency,BUFF163.sellOrder.converted.price,BUFF163.sellOrder.converted.currency,BUFF163.sellOrder.count,BUFF163.buyOrder.original.price,BUFF163.buyOrder.original.currency,BUFF163.buyOrder.converted.price,BUFF163.buyOrder.converted.currency,BUFF163.buyOrder.count,BUFF163.updatedAt,CSMONEY.sellOrder.original.price,CSMONEY.sellOrder.original.currency,CSMONEY.sellOrder.converted.price,CSMONEY.sellOrder.converted.currency,CSMONEY.sellOrder.count,CSMONEY.buyOrder,CSMONEY.updatedAt,DMARKET.sellOrder.original.price,DMARKET.sellOrder.original.currency,DMARKET.sellOrder.converted.price,DMARKET.sellOrder.converted.currency,DMARKET.sellOrder.count,DMARKET.buyOrder.original.price,DMARKET.buyOrder.original.currency,DMARKET.buyOrder.converted.price,DMARKET.buyOrder.converted.currency,DMARKET.buyOrder.count,DMARKET.updatedAt
2.76,USD,2.76,USD,167,,2024-04-14T15:13:04.323Z,8.85,EUR,9.44,USD,8,,2024-04-14T16:04:07.328Z,2.32,EUR,2.47,USD,37,,2024-04-14T16:03:09.408Z,3.08,USD,3.08,USD,35,,2024-04-14T16:01:05.092Z,2.52,USD,2.52,USD,182,,2024-04-14T16:05:05.870Z,18.35,CNY,2.53,USD,20,17.7,CNY,2.44,USD,34,2024-04-14T15:56:33.911Z,2.55,USD,2.55,USD,127,,2024-04-14T16:04:39.642Z,2.59,USD,2.59,USD,142,4.5,USD,4.5,USD,57,2024-04-14T16:02:13.706Z
4.2,USD,4.2,USD,43,,2024-04-14T15:10:30.108Z,10.5,EUR,11.21,USD,10,,2024-04-14T16:04:07.328Z,4.62,EUR,4.91,USD,25,,2024-04-14T16:03:09.408Z,4.95,USD,4.95,USD,14,,2024-04-14T16:01:05.092Z,4.51,USD,4.51,USD,89,,2024-04-14T16:05:05.870Z,31.9,CNY,4.4,USD,454,32,CNY,4.42,USD,146,2024-04-14T16:04:44.627Z,4.68,USD,4.68,USD,67,,2024-04-14T16:04:39.647Z,4.66,USD,4.66,USD,83,5.17,USD,5.17,USD,51,2024-04-14T16:02:10.828Z
3.25,USD,3.25,USD,59,,2024-04-14T15:21:10.421Z,4.08,EUR,4.35,USD,2,,2024-04-14T16:04:07.328Z,3.76,EUR,4,USD,8,,2024-04-14T16:03:09.408Z,3.36,USD,3.36,USD,3,,2024-04-14T16:01:05.092Z,3.33,USD,3.33,USD,72,,2024-04-14T16:05:05.870Z,23.1,CNY,3.19,USD,20,21.2,CNY,2.92,USD,7,2024-04-14T15:57:36.421Z,3.44,USD,3.44,USD,12,,2024-04-14T16:04:39.644Z,3.3,USD,3.3,USD,53,3.5,USD,3.5,USD,32,2024-04-14T16:02:25.945Z
1.92,USD,1.92,USD,154,,2024-04-14T15:17:50.312Z,1.91,EUR,2.04,USD,24,,2024-04-14T16:04:07.328Z,2.12,EUR,2.25,USD,160,,2024-04-14T16:03:09.408Z,1.9,USD,1.9,USD,221,,2024-04-14T16:01:05.092Z,2.04,USD,2.04,USD,365,,2024-04-14T16:05:05.870Z,15.59,CNY,2.15,USD,4796,15.6,CNY,2.15,USD,476,2024-04-14T16:02:56.833Z,1.8,USD,1.8,USD,467,,2024-04-14T16:04:39.680Z,2.27,USD,2.27,USD,245,1.97,USD,1.97,USD,34,2024-04-14T16:02:20.556Z
9.22,USD,9.22,USD,55,,2024-04-14T15:49:45.124Z,11.99,EUR,12.8,USD,46,,2024-04-14T16:04:07.328Z,8.67,EUR,9.22,USD,184,,2024-04-14T16:03:09.408Z,8.66,USD,8.66,USD,226,,2024-04-14T16:01:05.092Z,8.9,USD,8.9,USD,138,,2024-04-14T16:05:05.870Z,65.45,CNY,9.04,USD,4575,63,CNY,8.7,USD,374,2024-04-14T15:54:57.627Z,9.18,USD,9.18,USD,248,,2024-04-14T16:04:39.685Z,8.8,USD,8.8,USD,286,11.8,USD,11.8,USD,72,2024-04-14T16:02:25.887Z
2.19,USD,2.19,USD,609,,2024-04-14T15:51:43.124Z,2.99,EUR,3.19,USD,388,,2024-04-14T16:04:07.328Z,2.2,EUR,2.34,USD,763,,2024-04-14T16:03:09.408Z,2.14,USD,2.14,USD,539,,2024-04-14T16:01:05.092Z,2.46,USD,2.46,USD,984,,2024-04-14T16:05:05.870Z,17.55,CNY,2.42,USD,18700,17.4,CNY,2.4,USD,1153,2024-04-14T16:02:56.833Z,1.52,USD,1.52,USD,1263,,2024-04-14T16:04:39.677Z,2.5,USD,2.5,USD,611,3.29,USD,3.29,USD,62,2024-04-14T16:02:20.181Z
3.83,USD,3.83,USD,185,,2024-04-14T15:53:32.484Z,4.49,EUR,4.79,USD,92,,2024-04-14T16:04:07.328Z,3.66,EUR,3.89,USD,1111,,2024-04-14T16:03:09.408Z,3.66,USD,3.66,USD,308,,2024-04-14T16:01:05.092Z,3.95,USD,3.95,USD,594,,2024-04-14T16:05:05.870Z,29.5,CNY,4.07,USD,12388,29,CNY,4,USD,718,2024-04-14T15:54:57.627Z,3.69,USD,3.69,USD,794,,2024-04-14T16:04:39.682Z,3.97,USD,3.97,USD,499,3.95,USD,3.95,USD,63,2024-04-14T16:02:20.556Z
2.1,USD,2.1,USD,364,,2024-04-14T15:15:08.601Z,1.92,EUR,2.05,USD,78,,2024-04-14T16:04:07.328Z,2.19,EUR,2.33,USD,164,,2024-04-14T16:03:09.408Z,1.89,USD,1.89,USD,236,,2024-04-14T16:01:05.092Z,2.12,USD,2.12,USD,932,,2024-04-14T16:05:05.870Z,15,CNY,2.07,USD,5035,15.6,CNY,2.15,USD,550,2024-04-14T15:58:07.245Z,0.02,USD,0.02,USD,660,,2024-04-14T16:04:39.672Z,2.23,USD,2.23,USD,317,1.92,USD,1.92,USD,56,2024-04-14T16:02:17.104Z
1.47,USD,1.47,USD,14,,2024-04-14T15:18:19.257Z,1.31,EUR,1.4,USD,4,,2024-04-14T16:04:07.328Z,1.52,EUR,1.62,USD,25,,2024-04-14T16:03:09.408Z,1.78,USD,1.78,USD,22,,2024-04-14T16:01:05.092Z,1.34,USD,1.34,USD,59,,2024-04-14T16:05:05.870Z,9.41,CNY,1.3,USD,421,9.2,CNY,1.27,USD,158,2024-04-14T15:58:53.088Z,1.6,USD,1.6,USD,38,,2024-04-14T16:04:39.751Z,1.49,USD,1.49,USD,43,1.46,USD,1.46,USD,14,2024-04-14T16:02:21.172Z
2.55,USD,2.55,USD,18,,2024-04-14T15:10:25.963Z,2.25,EUR,2.4,USD,19,,2024-04-14T16:04:07.328Z,2.6,EUR,2.76,USD,73,,2024-04-14T16:03:09.408Z,2.36,USD,2.36,USD,34,,2024-04-14T16:01:05.092Z,2.49,USD,2.49,USD,127,,2024-04-14T16:05:05.870Z,16.87,CNY,2.33,USD,20,16.6,CNY,2.29,USD,240,2024-04-14T15:57:51.927Z,2.34,USD,2.34,USD,37,,2024-04-14T16:04:39.759Z,2.58,USD,2.58,USD,99,5.2,USD,5.2,USD,17,2024-04-14T16:02:10.571Z
