Item,Platform,OrderType,ConvertedPrice,ConvertedCurrency,Count,UpdatedAt
AK-47 | Aquamarine Revenge (Minimal Wear),CSMONEY,sellOrder,56.44,USD,36,2024-04-14T16:04:39.014Z
AK-47 | Aquamarine Revenge (Minimal Wear),DMARKET,sellOrder,58.3,USD,21,2024-04-14T16:02:07.923Z
AK-47 | Aquamarine Revenge (Minimal Wear),DMARKET,buyOrder,66.61,USD,40,2024-04-14T16:02:07.923Z
AK-47 | Aquamarine Revenge (Minimal Wear),SKINPORT,sellOrder,57.86,USD,41,2024-04-14T16:03:09.408Z
AK-47 | Aquamarine Revenge (Minimal Wear),BUFF163,sellOrder,57.2,USD,468,2024-04-14T15:54:41.833Z
AK-47 | Aquamarine Revenge (Minimal Wear),BUFF163,buyOrder,61.49,USD,118,2024-04-14T15:54:41.833Z
AK-47 | Aquamarine Revenge (Minimal Wear),BITSKINS,sellOrder,59.48,USD,11,2024-04-14T15:09:39.794Z
AK-47 | Aquamarine Revenge (Minimal Wear),CSFLOAT,sellOrder,51.03,USD,38,2024-04-14T16:01:05.092Z
AK-47 | Aquamarine Revenge (Minimal Wear),SKINBARON,sellOrder,56.51,USD,23,2024-04-14T16:04:07.328Z
AK-47 | Aquamarine Revenge (Well-Worn),DMARKET,sellOrder,19.33,USD,64,2024-04-14T16:02:07.865Z
AK-47 | Aquamarine Revenge (Well-Worn),DMARKET,buyOrder,18.92,USD,38,2024-04-14T16:02:07.865Z
AK-47 | Aquamarine Revenge (Well-Worn),MARKETCSGO,sellOrder,21.78,USD,20,2024-04-14T16:05:05.870Z
AK-47 | Aquamarine Revenge (Well-Worn),SKINPORT,sellOrder,20.36,USD,16,2024-04-14T16:03:09.408Z
AK-47 | Aquamarine Revenge (Well-Worn),CSFLOAT,sellOrder,17.9,USD,13,2024-04-14T16:01:05.092Z
AK-47 | Aquamarine Revenge (Well-Worn),BITSKINS,sellOrder,18.99,USD,18,2024-04-14T15:07:11.254Z
AK-47 | Aquamarine Revenge (Well-Worn),SKINBARON,sellOrder,19.74,USD,12,2024-04-14T16:04:07.328Z
AK-47 | Aquamarine Revenge (Well-Worn),CSMONEY,sellOrder,20.59,USD,11,2024-04-14T16:04:39.009Z
AK-47 | Aquamarine Revenge (Well-Worn),BUFF163,sellOrder,19.26,USD,20,2024-04-14T15:54:41.833Z
AK-47 | Aquamarine Revenge (Well-Worn),BUFF163,buyOrder,20.86,USD,23,2024-04-14T15:54:41.833Z
